id;description;received_date;status;date_added;last_modified
ba86577d-ebae-49ce-99b3-d371383f83e5;monetize;2022-03-29T21:34:15;ON_ROUTE;2022-03-30T10:06:12;2022-03-30T02:39:28
322d7485-8f86-4fc4-b12b-0341a931c329;SAS;2022-03-30T11:14:30;AVAILABLE;2022-03-30T17:59:41;2022-03-30T02:10:10
dfb3bbd8-9e4c-4223-af69-19fcc2fc0ed3;Computers;2022-03-30T10:07:34;USED;2022-03-30T19:07:38;2022-03-30T05:21:13
28f86db2-72d1-43dc-b51f-f61630b9bc06;Soap;2022-03-30T00:46:50;ON_ROUTE;2022-03-30T05:07:33;2022-03-30T06:43:05
b30846da-8375-4886-bd83-338f51cde178;Boliviano;2022-03-30T03:58:25;USED;2022-03-29T21:39:27;2022-03-30T05:55:01
d315cc07-031c-4524-9338-7ebf083e94fc;Accounts function;2022-03-30T04:31:44;ON_ROUTE;2022-03-30T04:45:13;2022-03-30T03:30:14
21a3e38c-c7fc-46a6-95ab-e4a767433512;Salad Frozen discrete;2022-03-29T21:35:24;AVAILABLE;2022-03-30T08:02:43;2022-03-30T10:37:48
54db6fbb-284f-4836-b091-07c9e0d1d1b4;SAS;2022-03-29T22:55:17;ON_ROUTE;2022-03-30T10:26:43;2022-03-30T20:03:09
61e505b8-c502-4f22-9a11-35c097f6968f;Re-contextualized SMTP;2022-03-30T06:00:56;AVAILABLE;2022-03-30T15:22:35;2022-03-30T10:49:25
1a6b0d7a-22a7-42bb-854a-de74d1593d7c;Corporate Iowa;2022-03-30T06:46:41;USED;2022-03-30T04:43:28;2022-03-30T14:46:26
